date,price_per_quintal
2023-01-01,1222.25
2023-01-02,1517.6
2023-01-03,1552.02
2023-01-04,1321.24
2023-01-05,2119.35
2023-01-06,1757.49
2023-01-07,1870.86
2023-01-08,1465.25
2023-01-09,1807.8
2023-01-10,1772.36
2023-01-11,1273.21
2023-01-12,1367.78
2023-01-13,2375.46
2023-01-14,1444.45
2023-01-15,1696.32
2023-01-16,1500.31
2023-01-17,1793.59
2023-01-18,1282.71
2023-01-19,1280.11
2023-01-20,1879.61
2023-01-21,1617.98
2023-01-22,869.06
2023-01-23,1569.75
2023-01-24,1512.64
2023-01-25,1762.98
2023-01-26,1654.29
2023-01-27,1660.61
2023-01-28,1589.68
2023-01-29,1646.93
2023-01-30,1243.26
2023-01-31,1338.22
2023-02-01,1793.97
2023-02-02,1657.49
2023-02-03,2254.13
2023-02-04,2335.54
2023-02-05,2206.14
2023-02-06,1866.27
2023-02-07,1884.62
2023-02-08,1912.25
2023-02-09,2347.43
2023-02-10,2183.67
2023-02-11,2523.51
2023-02-12,1765.54
2023-02-13,1974.24
2023-02-14,1684.83
2023-02-15,1641.39
2023-02-16,1995.15
2023-02-17,1945.02
2023-02-18,1895.83
2023-02-19,1610.1
2023-02-20,2095.31
2023-02-21,1961.14
2023-02-22,2297.18
2023-02-23,2195.56
2023-02-24,1674.53
2023-02-25,2153.01
2023-02-26,1874.94
2023-02-27,2472.12
2023-02-28,2035.13
2023-03-01,2309.65
2023-03-02,2337.2
2023-03-03,2031.18
2023-03-04,2808.68
2023-03-05,3045.66
2023-03-06,1968.29
2023-03-07,2382.53
2023-03-08,2422.52
2023-03-09,2287.44
2023-03-10,2795.15
2023-03-11,2803.92
2023-03-12,2386.34
2023-03-13,3035.4
2023-03-14,2465.01
2023-03-15,2388.5
2023-03-16,2534.98
2023-03-17,2248.15
2023-03-18,2864.31
2023-03-19,2630.49
2023-03-20,2358.85
2023-03-21,2406.69
2023-03-22,2204.86
2023-03-23,2532.94
2023-03-24,2097.62
2023-03-25,2461.12
2023-03-26,2315.82
2023-03-27,2619.81
2023-03-28,2753.36
2023-03-29,2682.18
2023-03-30,2427.92
2023-03-31,2263.94
2023-04-01,2617.93
2023-04-02,2697.58
2023-04-03,2839.26
2023-04-04,2543.95
2023-04-05,2432.6
2023-04-06,2752.4
2023-04-07,3084.7
2023-04-08,3228.89
2023-04-09,2927.14
2023-04-10,2428.17
2023-04-11,3100.25
2023-04-12,2469.45
2023-04-13,2490.88
2023-04-14,2826.77
2023-04-15,2320.95
2023-04-16,2932.31
2023-04-17,2693.22
2023-04-18,2820.39
