date,price_per_quintal
2023-01-01,1478.5
2023-01-02,1433.99
2023-01-03,1405.2
2023-01-04,1369.39
2023-01-05,1312.49
2023-01-06,1383.93
2023-01-07,1487.91
2023-01-08,1621.06
2023-01-09,1420.89
2023-01-10,1355.29
2023-01-11,1693.55
2023-01-12,1363.9
2023-01-13,1512.65
2023-01-14,1389.13
2023-01-15,1415.42
2023-01-16,1548.28
2023-01-17,1557.43
2023-01-18,1654.82
2023-01-19,1582.75
2023-01-20,1521.18
2023-01-21,1577.84
2023-01-22,1379.47
2023-01-23,1648.56
2023-01-24,1567.41
2023-01-25,1562.47
2023-01-26,1575.72
2023-01-27,1326.53
2023-01-28,1368.22
2023-01-29,1520.37
2023-01-30,1522.09
2023-01-31,1573.9
2023-02-01,1568.89
2023-02-02,1534.16
2023-02-03,1707.44
2023-02-04,1598.65
2023-02-05,1646.5
2023-02-06,1700.53
2023-02-07,1708.98
2023-02-08,1595.63
2023-02-09,1644.8
2023-02-10,1589.82
2023-02-11,1686.81
2023-02-12,1831.98
2023-02-13,1433.12
2023-02-14,1468.37
2023-02-15,1748.94
2023-02-16,1581.44
2023-02-17,1507.71
2023-02-18,1476.21
2023-02-19,1672.19
2023-02-20,1627.15
2023-02-21,1801.03
2023-02-22,1549.36
2023-02-23,1668.69
2023-02-24,1759.17
2023-02-25,1388.83
2023-02-26,1434.7
2023-02-27,1593.87
2023-02-28,1492.79
2023-03-01,1468.38
2023-03-02,1439.84
2023-03-03,1501.6
2023-03-04,1411.07
2023-03-05,1366.18
2023-03-06,1566.18
2023-03-07,1535.13
2023-03-08,1637.82
2023-03-09,1583.19
2023-03-10,1571.63
2023-03-11,1611.3
2023-03-12,1411.37
2023-03-13,1461.54
2023-03-14,1554.54
2023-03-15,1633.94
2023-03-16,1599.54
2023-03-17,1496.72
2023-03-18,1500.0
2023-03-19,1552.54
2023-03-20,1383.99
2023-03-21,1624.78
2023-03-22,1615.83
2023-03-23,1634.84
2023-03-24,1642.77
2023-03-25,1643.5
2023-03-26,1297.87
2023-03-27,1551.19
2023-03-28,1352.77
2023-03-29,1410.23
2023-03-30,1508.82
2023-03-31,1666.92
2023-04-01,1439.84
2023-04-02,1428.08
2023-04-03,1614.78
2023-04-04,1429.63
2023-04-05,1286.94
2023-04-06,1233.84
2023-04-07,1296.55
2023-04-08,1414.93
2023-04-09,1216.83
2023-04-10,1454.49
2023-04-11,1439.17
2023-04-12,1315.9
2023-04-13,1415.0
2023-04-14,1464.68
2023-04-15,1327.07
2023-04-16,1491.04
2023-04-17,1317.3
2023-04-18,1474.01
2023-04-19,1578.62
2023-04-20,1442.55
2023-04-21,1251.29
2023-04-22,1414.95
2023-04-23,1414.23
2023-04-24,1301.36
2023-04-25,1253.76
2023-04-26,1359.31
2023-04-27,1509.51
2023-04-28,1503.65
2023-04-29,1549.69
2023-04-30,1400.52
2023-05-01,1468.01
2023-05-02,1130.92
2023-05-03,1285.56
2023-05-04,1203.87
2023-05-05,1412.03
2023-05-06,1237.13
2023-05-07,1109.61
2023-05-08,1262.68
2023-05-09,1099.22
2023-05-10,1129.39
2023-05-11,1345.42
2023-05-12,1232.02
2023-05-13,1337.33
2023-05-14,1130.02
2023-05-15,1390.67
2023-05-16,1214.22
2023-05-17,1000.57
2023-05-18,1128.17
2023-05-19,1068.16
2023-05-20,1060.4
2023-05-21,1297.52
2023-05-22,1280.34
2023-05-23,1307.56
2023-05-24,1148.38
2023-05-25,1300.86
2023-05-26,1061.09
2023-05-27,1179.51
2023-05-28,1218.61
2023-05-29,1169.42
2023-05-30,1250.11
2023-05-31,1235.53
2023-06-01,1118.94
2023-06-02,1099.02
2023-06-03,1177.43
2023-06-04,1005.37
2023-06-05,1141.38
2023-06-06,1096.7
2023-06-07,1092.77
2023-06-08,1079.85
2023-06-09,805.22
2023-06-10,1294.3
2023-06-11,954.56
2023-06-12,969.03
2023-06-13,1026.13
2023-06-14,907.8
2023-06-15,1274.71
2023-06-16,991.04
2023-06-17,983.54
2023-06-18,966.24
2023-06-19,1118.45
2023-06-20,1233.7
2023-06-21,1099.13
2023-06-22,973.7
2023-06-23,1225.53
2023-06-24,1101.03
2023-06-25,980.51
2023-06-26,1058.76
2023-06-27,1083.36
2023-06-28,1096.25
2023-06-29,1068.2
2023-06-30,1071.07
2023-07-01,1160.84
2023-07-02,1277.55
2023-07-03,958.47
2023-07-04,827.84
2023-07-05,812.08
2023-07-06,1035.88
2023-07-07,743.62
2023-07-08,916.89
2023-07-09,986.3
2023-07-10,960.91
2023-07-11,890.75
2023-07-12,1160.04
2023-07-13,1035.26
2023-07-14,883.4
2023-07-15,1034.1
2023-07-16,918.23
2023-07-17,878.55
2023-07-18,891.8
2023-07-19,1082.81
2023-07-20,874.02
2023-07-21,932.75
2023-07-22,1063.91
2023-07-23,978.2
2023-07-24,970.75
2023-07-25,862.27
2023-07-26,1222.01
2023-07-27,1040.7
2023-07-28,658.48
2023-07-29,1099.41
2023-07-30,788.78
2023-07-31,778.66
2023-08-01,808.75
2023-08-02,1043.64
2023-08-03,860.21
2023-08-04,918.37
2023-08-05,692.9
2023-08-06,1022.56
2023-08-07,861.63
2023-08-08,739.18
2023-08-09,933.08
2023-08-10,953.08
2023-08-11,904.7
2023-08-12,1049.67
2023-08-13,964.93
2023-08-14,1075.36
2023-08-15,888.72
2023-08-16,908.64
2023-08-17,999.4
2023-08-18,1034.94
2023-08-19,856.13
2023-08-20,1122.6
2023-08-21,910.34
2023-08-22,897.28
2023-08-23,949.92
2023-08-24,794.41
2023-08-25,699.78
2023-08-26,1144.19
2023-08-27,1025.41
2023-08-28,787.02
2023-08-29,914.55
2023-08-30,973.12
2023-08-31,839.94
2023-09-01,1113.42
2023-09-02,882.3
2023-09-03,1060.93
2023-09-04,866.39
2023-09-05,1003.11
2023-09-06,1128.43
2023-09-07,999.58
2023-09-08,884.28
2023-09-09,969.65
2023-09-10,1030.23
2023-09-11,892.08
2023-09-12,896.26
2023-09-13,1155.29
2023-09-14,1111.68
2023-09-15,864.65
2023-09-16,786.25
2023-09-17,790.64
2023-09-18,811.07
2023-09-19,910.97
2023-09-20,936.16
2023-09-21,779.4
2023-09-22,964.2
2023-09-23,597.46
2023-09-24,962.83
2023-09-25,1139.19
2023-09-26,800.63
2023-09-27,601.08
2023-09-28,966.83
2023-09-29,1031.13
2023-09-30,898.24
2023-10-01,1099.94
2023-10-02,1227.62
2023-10-03,1275.62
2023-10-04,1144.86
2023-10-05,924.98
2023-10-06,1093.83
2023-10-07,953.66
2023-10-08,1072.03
2023-10-09,1045.13
2023-10-10,1005.78
2023-10-11,1258.24
2023-10-12,1047.38
2023-10-13,897.18
2023-10-14,1120.64
2023-10-15,1157.63
2023-10-16,1081.62
2023-10-17,982.71
2023-10-18,1024.01
2023-10-19,1005.44
2023-10-20,1015.74
2023-10-21,992.28
2023-10-22,1050.17
2023-10-23,914.2
2023-10-24,1106.71
2023-10-25,983.41
2023-10-26,1182.75
2023-10-27,1123.45
2023-10-28,1258.59
2023-10-29,914.38
2023-10-30,1247.64
2023-10-31,1064.51
2023-11-01,1326.81
2023-11-02,1359.51
2023-11-03,1368.28
2023-11-04,1260.53
2023-11-05,1307.89
2023-11-06,1242.54
2023-11-07,1341.06
2023-11-08,1146.93
2023-11-09,1302.69
2023-11-10,1439.07
2023-11-11,1495.32
2023-11-12,1382.91
2023-11-13,1430.3
2023-11-14,1317.97
2023-11-15,1381.8
2023-11-16,1488.95
2023-11-17,1249.23
2023-11-18,1065.41
2023-11-19,1235.7
2023-11-20,1278.66
2023-11-21,1157.67
2023-11-22,1113.0
2023-11-23,1197.78
2023-11-24,1109.54
2023-11-25,1366.86
2023-11-26,1462.1
2023-11-27,1338.79
2023-11-28,1090.59
2023-11-29,1282.99
