date,price_per_quintal
2023-01-01,3131.98
2023-01-02,3087.31
2023-01-03,3145.89
2023-01-04,3167.35
2023-01-05,3007.35
2023-01-06,3155.65
2023-01-07,3129.53
2023-01-08,3203.4
2023-01-09,3047.46
2023-01-10,3185.07
2023-01-11,3148.7
2023-01-12,3055.39
2023-01-13,3171.2
2023-01-14,3061.67
2023-01-15,3164.87
2023-01-16,3084.13
2023-01-17,3101.16
2023-01-18,3098.3
2023-01-19,3174.33
2023-01-20,3086.62
2023-01-21,3140.37
2023-01-22,3142.23
2023-01-23,3025.87
2023-01-24,3168.88
2023-01-25,3213.14
2023-01-26,3136.52
2023-01-27,3128.47
2023-01-28,3028.22
2023-01-29,3199.86
2023-01-30,2974.35
2023-01-31,3108.94
2023-02-01,3148.98
2023-02-02,2970.22
2023-02-03,3068.85
2023-02-04,2967.93
2023-02-05,3079.07
2023-02-06,2913.53
2023-02-07,2994.11
2023-02-08,2976.42
2023-02-09,3035.91
2023-02-10,2892.04
2023-02-11,3149.09
2023-02-12,3053.64
2023-02-13,2990.08
2023-02-14,3148.66
2023-02-15,3027.98
2023-02-16,3050.76
2023-02-17,3053.65
2023-02-18,3158.2
2023-02-19,3043.89
2023-02-20,2946.22
2023-02-21,3039.14
2023-02-22,3065.92
2023-02-23,3030.62
2023-02-24,2981.07
2023-02-25,2968.73
2023-02-26,2897.98
2023-02-27,3072.58
2023-02-28,2967.68
2023-03-01,2906.83
2023-03-02,2999.34
2023-03-03,3045.27
2023-03-04,2876.43
2023-03-05,2931.52
2023-03-06,2928.46
2023-03-07,3000.8
2023-03-08,2877.48
2023-03-09,2896.85
2023-03-10,2994.98
2023-03-11,2913.47
2023-03-12,2879.79
2023-03-13,2961.53
2023-03-14,2889.47
2023-03-15,2941.25
2023-03-16,3066.18
2023-03-17,2949.69
2023-03-18,2953.21
2023-03-19,2926.89
2023-03-20,2843.18
2023-03-21,2979.41
2023-03-22,3046.93
2023-03-23,3066.94
2023-03-24,3194.55
2023-03-25,2942.99
2023-03-26,2983.12
2023-03-27,2879.33
2023-03-28,3115.84
2023-03-29,3047.35
2023-03-30,3045.24
2023-03-31,3016.46
2023-04-01,2898.63
2023-04-02,2706.56
2023-04-03,3009.95
2023-04-04,2963.71
2023-04-05,2931.26
2023-04-06,2844.88
2023-04-07,2980.75
2023-04-08,2935.59
2023-04-09,2928.09
2023-04-10,2823.84
2023-04-11,2822.98
2023-04-12,2905.94
2023-04-13,2904.95
2023-04-14,2830.59
2023-04-15,3052.91
2023-04-16,2879.4
2023-04-17,2909.61
2023-04-18,2936.0
2023-04-19,3033.31
2023-04-20,2853.88
2023-04-21,2901.39
2023-04-22,2814.63
2023-04-23,3000.85
2023-04-24,2951.38
2023-04-25,2930.32
2023-04-26,2940.75
2023-04-27,3063.62
2023-04-28,2909.89
2023-04-29,2872.33
2023-04-30,2873.08
2023-05-01,2975.15
2023-05-02,2940.07
2023-05-03,2931.78
2023-05-04,2841.84
2023-05-05,2937.79
2023-05-06,2942.49
2023-05-07,2903.25
2023-05-08,2884.58
2023-05-09,2933.35
2023-05-10,2927.78
2023-05-11,2857.78
