date,price_per_quintal
2023-01-01,2690.56
2023-01-02,2685.3
2023-01-03,2698.12
2023-01-04,2861.28
2023-01-05,2695.86
2023-01-06,2422.41
2023-01-07,2788.84
2023-01-08,2669.41
2023-01-09,2679.99
2023-01-10,2747.06
2023-01-11,2770.84
2023-01-12,2957.59
2023-01-13,2856.71
2023-01-14,2747.98
2023-01-15,2578.72
2023-01-16,2523.95
2023-01-17,2776.65
2023-01-18,2990.1
2023-01-19,2736.71
2023-01-20,2707.62
2023-01-21,2835.73
2023-01-22,2439.17
2023-01-23,2667.92
2023-01-24,2828.95
2023-01-25,2906.06
2023-01-26,2683.75
2023-01-27,2807.7
2023-01-28,2782.52
2023-01-29,2889.85
2023-01-30,2511.24
2023-01-31,2848.03
2023-02-01,2160.6
2023-02-02,1940.02
2023-02-03,2343.13
2023-02-04,2281.84
2023-02-05,2640.71
2023-02-06,2598.86
2023-02-07,2222.69
2023-02-08,2636.48
2023-02-09,2267.07
2023-02-10,2450.76
2023-02-11,2409.73
2023-02-12,2491.89
2023-02-13,2633.23
2023-02-14,2597.69
2023-02-15,2540.48
2023-02-16,2601.0
2023-02-17,2567.2
2023-02-18,2346.61
2023-02-19,2329.03
2023-02-20,2379.01
2023-02-21,2573.37
2023-02-22,2423.98
2023-02-23,2941.66
2023-02-24,2311.15
2023-02-25,2255.73
2023-02-26,2629.7
2023-02-27,2760.88
2023-02-28,2578.14
2023-03-01,2253.25
2023-03-02,2371.86
2023-03-03,2068.28
2023-03-04,1803.0
2023-03-05,1981.67
2023-03-06,2279.17
2023-03-07,1800.35
2023-03-08,2096.3
2023-03-09,2140.74
2023-03-10,2027.47
2023-03-11,2235.82
2023-03-12,2207.75
2023-03-13,2556.37
2023-03-14,2216.58
2023-03-15,1971.21
2023-03-16,1981.23
2023-03-17,1927.77
2023-03-18,2285.04
2023-03-19,1981.72
2023-03-20,2081.54
2023-03-21,2245.95
2023-03-22,1951.9
2023-03-23,2038.36
2023-03-24,1729.33
2023-03-25,1881.59
2023-03-26,1985.04
2023-03-27,2182.24
2023-03-28,2338.29
2023-03-29,2096.4
2023-03-30,2152.86
2023-03-31,2134.68
2023-04-01,1911.96
2023-04-02,1874.18
2023-04-03,1750.75
2023-04-04,1494.32
2023-04-05,1877.69
2023-04-06,1773.72
2023-04-07,1943.4
2023-04-08,1692.53
2023-04-09,2089.63
2023-04-10,1627.73
2023-04-11,2018.62
2023-04-12,1723.53
2023-04-13,1597.76
2023-04-14,1475.82
2023-04-15,1671.8
2023-04-16,1987.17
2023-04-17,1866.29
2023-04-18,1841.29
2023-04-19,1228.84
2023-04-20,1846.7
2023-04-21,1816.18
2023-04-22,1595.52
2023-04-23,1580.53
2023-04-24,1706.05
2023-04-25,2051.99
2023-04-26,1496.49
2023-04-27,1622.45
2023-04-28,1980.87
2023-04-29,1619.78
2023-04-30,1636.66
2023-05-01,1416.77
2023-05-02,1149.45
2023-05-03,1442.2
2023-05-04,1156.79
2023-05-05,1576.25
2023-05-06,1400.35
2023-05-07,1856.9
2023-05-08,1456.88
2023-05-09,1674.35
2023-05-10,1141.06
2023-05-11,1377.78
2023-05-12,1467.34
2023-05-13,1752.35
2023-05-14,1067.53
2023-05-15,1602.33
2023-05-16,1522.98
2023-05-17,1711.92
2023-05-18,1548.19
2023-05-19,1416.62
2023-05-20,1302.38
2023-05-21,1157.57
2023-05-22,1446.79
2023-05-23,1369.87
2023-05-24,1812.76
2023-05-25,1287.01
2023-05-26,1473.79
2023-05-27,1096.41
2023-05-28,1331.62
2023-05-29,1463.44
2023-05-30,1576.5
2023-05-31,1701.83
2023-06-01,1268.67
2023-06-02,1054.56
2023-06-03,1370.07
2023-06-04,1382.4
2023-06-05,1377.84
2023-06-06,1139.95
2023-06-07,1507.18
2023-06-08,1298.58
2023-06-09,1421.47
2023-06-10,1536.82
2023-06-11,1404.36
2023-06-12,1340.31
2023-06-13,1714.06
2023-06-14,1332.74
2023-06-15,1225.31
2023-06-16,1307.4
2023-06-17,1582.06
2023-06-18,1309.75
2023-06-19,1390.38
2023-06-20,1526.15
2023-06-21,1184.93
2023-06-22,942.69
2023-06-23,1348.39
2023-06-24,1334.95
2023-06-25,1167.9
2023-06-26,1464.22
2023-06-27,1412.02
2023-06-28,1092.01
2023-06-29,1395.15
2023-06-30,1252.78
2023-07-01,1074.52
2023-07-02,1462.21
2023-07-03,1363.08
2023-07-04,1223.56
2023-07-05,1477.71
2023-07-06,1471.24
2023-07-07,1258.61
2023-07-08,1454.69
2023-07-09,1578.13
2023-07-10,1233.09
2023-07-11,1452.3
2023-07-12,1377.17
2023-07-13,1830.32
2023-07-14,1005.16
2023-07-15,1517.18
2023-07-16,1317.37
2023-07-17,1359.08
2023-07-18,1759.94
2023-07-19,1378.41
2023-07-20,1828.81
2023-07-21,1292.69
2023-07-22,1451.72
2023-07-23,1283.95
2023-07-24,1244.48
2023-07-25,1395.62
2023-07-26,1327.11
2023-07-27,1424.62
2023-07-28,963.61
2023-07-29,1785.61
2023-07-30,1352.22
2023-07-31,1734.7
2023-08-01,1456.57
2023-08-02,1717.0
2023-08-03,2291.98
2023-08-04,1485.55
2023-08-05,1360.93
2023-08-06,1551.19
2023-08-07,1755.49
2023-08-08,1800.16
2023-08-09,1920.07
2023-08-10,1611.09
2023-08-11,1342.54
2023-08-12,1576.49
2023-08-13,1912.04
2023-08-14,1757.63
2023-08-15,1273.61
2023-08-16,1658.48
2023-08-17,1945.63
2023-08-18,2091.8
2023-08-19,1779.33
2023-08-20,1729.35
2023-08-21,1419.95
2023-08-22,1499.85
2023-08-23,1678.38
2023-08-24,1770.13
2023-08-25,1786.03
2023-08-26,1574.85
2023-08-27,1440.61
2023-08-28,1515.94
2023-08-29,1440.6
2023-08-30,1801.18
2023-08-31,1210.54
2023-09-01,1998.25
2023-09-02,2155.39
2023-09-03,2370.31
2023-09-04,2080.67
2023-09-05,2267.17
2023-09-06,1987.61
2023-09-07,1919.03
2023-09-08,1933.53
2023-09-09,2374.38
2023-09-10,2268.25
2023-09-11,2167.39
2023-09-12,2736.46
2023-09-13,2064.44
2023-09-14,2195.48
2023-09-15,2133.43
2023-09-16,2028.03
2023-09-17,2536.14
2023-09-18,2374.73
2023-09-19,1794.01
2023-09-20,1994.44
2023-09-21,2160.58
2023-09-22,2232.05
2023-09-23,1806.22
2023-09-24,1625.3
2023-09-25,1695.64
2023-09-26,2063.19
2023-09-27,2057.27
2023-09-28,2147.45
2023-09-29,1924.98
2023-09-30,1834.56
2023-10-01,2081.88
2023-10-02,2552.83
2023-10-03,2561.5
2023-10-04,2686.59
2023-10-05,2646.65
2023-10-06,2450.85
2023-10-07,2759.34
2023-10-08,2462.72
