date,price_per_quintal
2023-01-01,2266.67
2023-01-02,2288.97
2023-01-03,2423.03
2023-01-04,2380.36
2023-01-05,2414.07
2023-01-06,2460.73
2023-01-07,2314.53
2023-01-08,2360.09
2023-01-09,2406.22
2023-01-10,2523.37
2023-01-11,2442.91
2023-01-12,2491.46
2023-01-13,2455.5
2023-01-14,2459.63
2023-01-15,2175.73
2023-01-16,2442.59
2023-01-17,2376.09
2023-01-18,2360.52
2023-01-19,2302.67
2023-01-20,2313.17
2023-01-21,2397.62
2023-01-22,2440.3
2023-01-23,2206.82
2023-01-24,2378.71
2023-01-25,2301.13
2023-01-26,2262.42
2023-01-27,2397.06
2023-01-28,2325.23
2023-01-29,2292.5
2023-01-30,2281.78
2023-01-31,2387.13
2023-02-01,2468.1
2023-02-02,2360.24
2023-02-03,2385.61
2023-02-04,2451.76
2023-02-05,2510.82
2023-02-06,2365.64
2023-02-07,2519.72
2023-02-08,2388.81
2023-02-09,2744.28
2023-02-10,2377.71
2023-02-11,2393.1
2023-02-12,2491.81
2023-02-13,2382.47
2023-02-14,2555.77
2023-02-15,2653.45
2023-02-16,2434.85
2023-02-17,2491.18
2023-02-18,2422.43
2023-02-19,2474.5
2023-02-20,2617.98
2023-02-21,2564.53
2023-02-22,2384.99
2023-02-23,2630.3
2023-02-24,2592.21
2023-02-25,2524.94
2023-02-26,2410.69
2023-02-27,2483.48
2023-02-28,2397.66
2023-03-01,2564.46
2023-03-02,2486.35
2023-03-03,2294.8
2023-03-04,2611.22
2023-03-05,2538.05
2023-03-06,2627.05
2023-03-07,2505.88
2023-03-08,2538.65
2023-03-09,2631.63
2023-03-10,2559.18
2023-03-11,2549.5
2023-03-12,2842.44
2023-03-13,2504.4
2023-03-14,2538.52
2023-03-15,2695.3
2023-03-16,2441.7
2023-03-17,2418.4
2023-03-18,2379.59
2023-03-19,2576.47
2023-03-20,2585.96
2023-03-21,2597.85
2023-03-22,2388.64
2023-03-23,2624.89
2023-03-24,2644.33
2023-03-25,2515.17
2023-03-26,2528.46
2023-03-27,2593.06
2023-03-28,2562.51
2023-03-29,2590.3
2023-03-30,2417.79
2023-03-31,2509.24
2023-04-01,2365.56
2023-04-02,2550.24
2023-04-03,2540.43
2023-04-04,2477.83
2023-04-05,2517.69
2023-04-06,2332.66
2023-04-07,2574.4
2023-04-08,2442.18
2023-04-09,2502.11
2023-04-10,2601.04
2023-04-11,2414.16
2023-04-12,2609.83
2023-04-13,2502.82
2023-04-14,2493.53
2023-04-15,2546.61
2023-04-16,2366.61
2023-04-17,2551.02
2023-04-18,2498.06
2023-04-19,2595.84
2023-04-20,2470.83
2023-04-21,2456.48
2023-04-22,2530.07
2023-04-23,2487.47
2023-04-24,2376.31
2023-04-25,2474.61
2023-04-26,2621.07
2023-04-27,2485.3
2023-04-28,2407.86
2023-04-29,2566.8
2023-04-30,2310.16
2023-05-01,2173.97
2023-05-02,2385.88
2023-05-03,2404.69
2023-05-04,2408.94
2023-05-05,2297.92
2023-05-06,2372.45
2023-05-07,2247.93
2023-05-08,2410.06
2023-05-09,2226.87
2023-05-10,2373.78
2023-05-11,2415.16
2023-05-12,2213.64
2023-05-13,2337.35
2023-05-14,2468.71
2023-05-15,2545.1
2023-05-16,2240.1
2023-05-17,2424.79
2023-05-18,2267.51
2023-05-19,2256.87
2023-05-20,2551.31
2023-05-21,2458.82
2023-05-22,2311.88
2023-05-23,2414.5
2023-05-24,2457.09
2023-05-25,2411.33
2023-05-26,2618.23
2023-05-27,2454.38
2023-05-28,2094.8
2023-05-29,2365.38
2023-05-30,2321.04
2023-05-31,2374.59
2023-06-01,2246.65
2023-06-02,2180.49
2023-06-03,2137.41
2023-06-04,2382.54
2023-06-05,2306.23
2023-06-06,2179.73
2023-06-07,2315.06
2023-06-08,2314.92
2023-06-09,2374.43
2023-06-10,2142.47
2023-06-11,2326.29
2023-06-12,2187.82
2023-06-13,2364.4
2023-06-14,2229.96
2023-06-15,2022.32
2023-06-16,2253.34
2023-06-17,2071.68
2023-06-18,2228.69
2023-06-19,2244.88
2023-06-20,2210.87
2023-06-21,2102.61
2023-06-22,2140.03
2023-06-23,2167.44
2023-06-24,2227.39
2023-06-25,2381.35
2023-06-26,2323.71
2023-06-27,2205.88
2023-06-28,2380.79
2023-06-29,2116.89
2023-06-30,2322.5
2023-07-01,2086.78
2023-07-02,2128.23
2023-07-03,2168.75
2023-07-04,2037.24
2023-07-05,2185.62
2023-07-06,2104.87
2023-07-07,2347.28
2023-07-08,2075.97
2023-07-09,2233.62
2023-07-10,2171.71
2023-07-11,1989.89
2023-07-12,2243.66
2023-07-13,2001.86
2023-07-14,1885.0
2023-07-15,2193.83
2023-07-16,2215.7
2023-07-17,2114.3
2023-07-18,2083.3
2023-07-19,2268.07
2023-07-20,2181.19
2023-07-21,2044.71
2023-07-22,2183.75
2023-07-23,1986.57
2023-07-24,2055.3
2023-07-25,2006.39
2023-07-26,1891.8
2023-07-27,1994.37
2023-07-28,2234.63
2023-07-29,2002.92
2023-07-30,2058.0
2023-07-31,1997.2
2023-08-01,2090.35
2023-08-02,2004.21
2023-08-03,2053.47
2023-08-04,1994.12
2023-08-05,1887.89
2023-08-06,1907.9
2023-08-07,2089.32
2023-08-08,2000.15
2023-08-09,2083.63
2023-08-10,1690.23
2023-08-11,2117.8
2023-08-12,1957.7
2023-08-13,2224.68
2023-08-14,1956.62
2023-08-15,2010.82
2023-08-16,2074.33
2023-08-17,1921.01
2023-08-18,2096.17
2023-08-19,1944.67
2023-08-20,2138.4
2023-08-21,2089.11
2023-08-22,2059.66
2023-08-23,1937.97
2023-08-24,1989.64
2023-08-25,2040.98
2023-08-26,1807.96
2023-08-27,1956.42
2023-08-28,2105.7
2023-08-29,1885.37
2023-08-30,2140.39
2023-08-31,1949.96
2023-09-01,2005.23
2023-09-02,1858.43
2023-09-03,2021.94
2023-09-04,2020.07
2023-09-05,2087.74
2023-09-06,2109.81
2023-09-07,2100.05
2023-09-08,1995.89
2023-09-09,1852.68
2023-09-10,2107.98
2023-09-11,1845.49
2023-09-12,1932.33
2023-09-13,2050.21
2023-09-14,2021.16
2023-09-15,2136.41
2023-09-16,1976.99
2023-09-17,1808.69
2023-09-18,1950.47
2023-09-19,1995.71
2023-09-20,1943.54
2023-09-21,2120.15
